Name:				091_n060_m200_bt3_9287
Problem:			3L-VRPTW
Number_of_used_Vehicles:	1
Total_Travel_Distance:		119.39
Calculation_Time:		0.08
Total_Iterations:		1
ConstraintSet:			P1

-------------------------------------------------------------------------------------------------------------------
Tour_Id:			1
No_of_Customers:		3
No_of_Items:			10
Customer_Sequence:		14 4 2 

CustId	Id	TypeId	Rotated	x	y	z	Length	Width	Height	mass	Fragility	LoadBearingStrength
2	7	2	0	0	0	0	27	10	8	283.38	0		7.971619
2	8	3	0	0	10	0	29	8	7	165.95	0		8.906145
2	4	1	0	0	0	8	13	11	13	624.15	1		3.362158
2	5	1	0	13	0	8	13	11	13	624.15	1		3.362158
2	6	1	0	29	0	0	13	11	13	624.15	1		3.362158
4	14	2	0	29	11	0	27	10	8	283.38	0		7.971619
4	15	3	0	0	11	7	29	8	7	165.95	0		8.906145
14	47	2	0	0	11	14	27	10	8	283.38	0		7.971619
14	48	2	0	0	11	22	27	10	8	283.38	0		7.971619
14	49	3	0	29	11	8	29	8	7	165.95	0		8.906145


